Latitude,Longitude,Rainfall_mm
37.25,87.5833,157
37.25,87.75,146
37.25,87.9167,141
37.25,88.0833,141
37.25,88.25,146
37.25,88.4167,155
37.25,88.5833,156
37.25,88.75,161
37.25,88.9167,151
37.25,89.0833,132
37.25,89.25,126
37.25,89.4167,122
37.25,89.5833,128
37.25,89.75,124
37.25,89.9167,121
37.25,90.0833,116
37.25,90.25,112
37.25,90.4167,118
37.25,90.5833,132
37.25,90.75,165
37.25,90.9167,172
37.25,91.0833,181
37.25,91.25,176
37.25,91.4167,143
37.25,91.5833,128
37.25,91.75,113
37.25,91.9167,80
37.25,92.0833,62
37.25,92.25,51
37.25,92.4167,41
37.25,92.5833,38
37.25,92.75,32
37.25,92.9167,33
37.25,93.0833,30
37.25,93.25,29
37.25,93.4167,27
37.25,93.5833,27
37.25,93.75,26
37.25,93.9167,26
37.25,94.0833,27
37.25,94.25,29
37.25,94.4167,31
37.25,94.5833,35
37.25,94.75,36
37.25,94.9167,39
37.25,95.0833,44
37.25,95.25,50
37.25,95.4167,57
37.25,95.5833,62
37.25,95.75,73
37.25,95.9167,90
37.25,96.0833,106
37.25,96.25,101
37.25,96.4167,122
37.25,96.5833,116
37.25,96.75,104
37.25,96.9167,116
37.0833,68.0833,171
37.0833,68.25,184
37.0833,68.4167,193
37.0833,68.5833,214
37.0833,68.75,249
37.0833,68.9167,313
37.0833,69.0833,326
37.0833,69.25,357
37.0833,69.4167,408
37.0833,69.5833,485
37.0833,69.75,612
37.0833,69.9167,659
37.0833,70.0833,584
37.0833,70.25,574
37.0833,70.4167,566
37.0833,70.5833,504
37.0833,70.75,460
37.0833,70.9167,413
37.0833,71.0833,421
37.0833,71.25,380
37.0833,71.4167,371
37.0833,71.5833,474
37.0833,71.75,566
37.0833,71.9167,433
37.0833,72.0833,510
37.0833,72.25,504
37.0833,72.4167,434
37.0833,72.5833,349
37.0833,72.75,246
37.0833,72.9167,363
37.0833,73.0833,392
37.0833,73.25,371
37.0833,73.4167,276
37.0833,73.5833,225
37.0833,73.75,216
37.0833,73.9167,181
37.0833,74.0833,176
37.0833,74.25,206
37.0833,74.4167,206
37.0833,74.5833,180
37.0833,74.75,151
37.0833,74.9167,127
37.0833,75.0833,127
37.0833,75.25,122
37.0833,75.4167,86
37.0833,75.5833,93
37.0833,75.75,98
37.0833,75.9167,64
37.0833,76.0833,63
37.0833,76.25,59
37.0833,76.4167,49
37.0833,76.5833,45
37.0833,76.75,30
37.0833,76.9167,31
37.0833,77.0833,34
37.0833,77.25,32
37.0833,77.4167,27
37.0833,77.5833,29
37.0833,77.75,28
37.0833,77.9167,27
37.0833,78.0833,24
37.0833,78.25,25
37.0833,78.4167,25
37.0833,78.5833,24
37.0833,78.75,24
37.0833,78.9167,26
37.0833,79.0833,27
37.0833,79.25,28
37.0833,79.4167,29
37.0833,79.5833,33
37.0833,79.75,37
37.0833,79.9167,39
37.0833,80.0833,39
37.0833,80.25,38
37.0833,80.4167,39
37.0833,80.5833,39
37.0833,80.75,38
37.0833,80.9167,37
37.0833,81.0833,37
37.0833,81.25,36
37.0833,81.4167,37
37.0833,81.5833,37
37.0833,81.75,37
37.0833,81.9167,35
37.0833,82.0833,36
37.0833,82.25,35
37.0833,82.4167,35
37.0833,82.5833,33
37.0833,82.75,33
37.0833,82.9167,32
37.0833,83.0833,32
37.0833,83.25,33
37.0833,83.4167,31
37.0833,83.5833,32
37.0833,83.75,33
37.0833,83.9167,33
37.0833,84.0833,35
37.0833,84.25,38
37.0833,84.4167,42
37.0833,84.5833,44
37.0833,84.75,58
37.0833,84.9167,71
37.0833,85.0833,83
37.0833,85.25,89
37.0833,85.4167,91
37.0833,85.5833,111
37.0833,85.75,120
37.0833,85.9167,125
37.0833,86.0833,126
37.0833,86.25,127
37.0833,86.4167,127
37.0833,86.5833,114
37.0833,86.75,107
37.0833,86.9167,107
37.0833,87.0833,117
37.0833,87.25,120
37.0833,87.4167,127
37.0833,87.5833,133
37.0833,87.75,129
37.0833,87.9167,131
37.0833,88.0833,130
37.0833,88.25,128
37.0833,88.4167,132
37.0833,88.5833,129
37.0833,88.75,138
37.0833,88.9167,142
37.0833,89.0833,140
37.0833,89.25,138
37.0833,89.4167,130
37.0833,89.5833,132
37.0833,89.75,131
37.0833,89.9167,134
37.0833,90.0833,126
37.0833,90.25,120
37.0833,90.4167,128
37.0833,90.5833,129
37.0833,90.75,131
37.0833,90.9167,151
37.0833,91.0833,171
37.0833,91.25,172
37.0833,91.4167,164
37.0833,91.5833,137
37.0833,91.75,110
37.0833,91.9167,91
37.0833,92.0833,72
37.0833,92.25,59
37.0833,92.4167,50
37.0833,92.5833,42
37.0833,92.75,39
37.0833,92.9167,37
37.0833,93.0833,36
37.0833,93.25,31
37.0833,93.4167,28
37.0833,93.5833,28
37.0833,93.75,27
37.0833,93.9167,27
37.0833,94.0833,26
37.0833,94.25,28
37.0833,94.4167,28
37.0833,94.5833,32
37.0833,94.75,33
37.0833,94.9167,37
37.0833,95.0833,39
37.0833,95.25,42
37.0833,95.4167,44
37.0833,95.5833,47
37.0833,95.75,53
37.0833,95.9167,63
37.0833,96.0833,70
37.0833,96.25,81
37.0833,96.4167,91
37.0833,96.5833,92
37.0833,96.75,94
37.0833,96.9167,110
36.9167,68.0833,168
36.9167,68.25,183
36.9167,68.4167,203
36.9167,68.5833,220
36.9167,68.75,255
36.9167,68.9167,312
36.9167,69.0833,345
36.9167,69.25,410
36.9167,69.4167,463
36.9167,69.5833,525
36.9167,69.75,524
36.9167,69.9167,569
36.9167,70.0833,528
36.9167,70.25,575
36.9167,70.4167,556
36.9167,70.5833,542
36.9167,70.75,471
36.9167,70.9167,404
36.9167,71.0833,377
36.9167,71.25,547
36.9167,71.4167,494
36.9167,71.5833,420
36.9167,71.75,641
36.9167,71.9167,561
36.9167,72.0833,371
36.9167,72.25,246
36.9167,72.4167,333
36.9167,72.5833,402
36.9167,72.75,349
36.9167,72.9167,307
36.9167,73.0833,280
36.9167,73.25,299
36.9167,73.4167,174
36.9167,73.5833,235
36.9167,73.75,241
36.9167,73.9167,219
36.9167,74.0833,243
36.9167,74.25,224
36.9167,74.4167,204
36.9167,74.5833,189
36.9167,74.75,165
36.9167,74.9167,160
36.9167,75.0833,138
36.9167,75.25,137
36.9167,75.4167,137
36.9167,75.5833,100
36.9167,75.75,101
36.9167,75.9167,60
36.9167,76.0833,66
36.9167,76.25,77
36.9167,76.4167,59
36.9167,76.5833,63
36.9167,76.75,45
36.9167,76.9167,36
36.9167,77.0833,33
36.9167,77.25,43
36.9167,77.4167,34
36.9167,77.5833,35
36.9167,77.75,40
36.9167,77.9167,36
36.9167,78.0833,45
36.9167,78.25,30
36.9167,78.4167,29
36.9167,78.5833,24
36.9167,78.75,23
36.9167,78.9167,24
36.9167,79.0833,24
36.9167,79.25,27
36.9167,79.4167,29
36.9167,79.5833,29
36.9167,79.75,29
36.9167,79.9167,33
36.9167,80.0833,34
36.9167,80.25,35
36.9167,80.4167,36
36.9167,80.5833,36
36.9167,80.75,37
36.9167,80.9167,36
36.9167,81.0833,37
36.9167,81.25,37
36.9167,81.4167,40
36.9167,81.5833,39
36.9167,81.75,38
36.9167,81.9167,37
36.9167,82.0833,35
36.9167,82.25,36
36.9167,82.4167,36
36.9167,82.5833,34
36.9167,82.75,33
36.9167,82.9167,34
36.9167,83.0833,34
36.9167,83.25,34
36.9167,83.4167,34
36.9167,83.5833,34
36.9167,83.75,35
36.9167,83.9167,38
36.9167,84.0833,49
36.9167,84.25,61
36.9167,84.4167,57
36.9167,84.5833,64
36.9167,84.75,91
36.9167,84.9167,99
36.9167,85.0833,115
36.9167,85.25,105
36.9167,85.4167,106
36.9167,85.5833,101
36.9167,85.75,116
36.9167,85.9167,130
36.9167,86.0833,136
36.9167,86.25,136
36.9167,86.4167,146
36.9167,86.5833,138
36.9167,86.75,136
36.9167,86.9167,136
36.9167,87.0833,130
36.9167,87.25,135
36.9167,87.4167,131
36.9167,87.5833,132
36.9167,87.75,137
36.9167,87.9167,141
36.9167,88.0833,144
36.9167,88.25,144
36.9167,88.4167,147
36.9167,88.5833,147
36.9167,88.75,144
36.9167,88.9167,151
36.9167,89.0833,147
36.9167,89.25,149
36.9167,89.4167,142
36.9167,89.5833,141
36.9167,89.75,141
36.9167,89.9167,136
36.9167,90.0833,130
36.9167,90.25,130
36.9167,90.4167,137
36.9167,90.5833,148
36.9167,90.75,142
36.9167,90.9167,134
36.9167,91.0833,126
36.9167,91.25,129
36.9167,91.4167,143
36.9167,91.5833,142
36.9167,91.75,145
36.9167,91.9167,132
36.9167,92.0833,108
36.9167,92.25,86
36.9167,92.4167,70
36.9167,92.5833,58
36.9167,92.75,48
36.9167,92.9167,42
36.9167,93.0833,40
36.9167,93.25,35
36.9167,93.4167,32
36.9167,93.5833,28
36.9167,93.75,28
36.9167,93.9167,26
36.9167,94.0833,29
36.9167,94.25,28
36.9167,94.4167,30
36.9167,94.5833,32
36.9167,94.75,35
36.9167,94.9167,36
36.9167,95.0833,39
36.9167,95.25,42
36.9167,95.4167,42
36.9167,95.5833,43
36.9167,95.75,45
36.9167,95.9167,51
36.9167,96.0833,49
36.9167,96.25,55
36.9167,96.4167,64
36.9167,96.5833,85
36.9167,96.75,89
36.9167,96.9167,98
36.75,68.0833,186
36.75,68.25,193
36.75,68.4167,235
36.75,68.5833,270
36.75,68.75,261
36.75,68.9167,294
36.75,69.0833,361
