Latitude,Longitude,Extreme_High_Temp_C
37.25,73.5833,12.55
37.25,73.75,13.03
37.25,73.9167,12.64
37.25,74.0833,15.2
37.25,74.25,17.26
37.25,74.4167,15.24
37.25,74.5833,12.09
37.25,74.75,12.58
37.25,74.9167,12.28
37.25,75.0833,13.04
37.25,75.25,15.42
37.25,75.4167,21.65
37.25,75.5833,14.82
37.25,75.75,15.7
37.25,75.9167,22.16
37.25,76.0833,23.68
37.25,76.25,20.84
37.25,76.4167,16.12
37.25,76.5833,19.32
37.25,76.75,26.98
37.25,76.9167,26.98
37.25,77.0833,27.74
37.25,77.25,28.06
37.25,77.4167,28.01
37.25,77.5833,28.52
37.25,77.75,28.39
37.25,77.9167,29.75
37.25,78.0833,31.07
37.25,78.25,30.99
37.25,78.4167,31.59
37.25,78.5833,32.63
37.25,78.75,33.74
37.25,78.9167,34.03
37.25,79.0833,33.99
37.25,79.25,34.05
37.25,79.4167,34.37
37.25,79.5833,32.45
37.25,79.75,32.02
37.25,79.9167,33.45
37.25,80.0833,34.58
37.25,80.25,34.44
37.25,80.4167,34.76
37.25,80.5833,34.93
37.25,80.75,34.97
37.25,80.9167,34.89
37.25,81.0833,34.98
37.25,81.25,34.99
37.25,81.4167,34.98
37.25,81.5833,34.89
37.25,81.75,34.83
37.25,81.9167,34.76
37.25,82.0833,34.78
37.25,82.25,34.77
37.25,82.4167,34.81
37.25,82.5833,35.01
37.25,82.75,34.45
37.25,82.9167,34.51
37.25,83.0833,34.88
37.25,83.25,34.62
37.25,83.4167,34.15
37.25,83.5833,33.69
37.25,83.75,33.03
37.25,83.9167,32.54
37.25,84.0833,32.21
37.25,84.25,31.0
37.25,84.4167,29.53
37.25,84.5833,29.35
37.25,84.75,27.66
37.25,84.9167,25.87
37.25,85.0833,25.43
37.25,85.25,24.52
37.25,85.4167,19.83
37.25,85.5833,15.18
37.25,85.75,9.31
37.25,85.9167,8.91
37.25,86.0833,11.32
37.25,86.25,14.76
37.25,86.4167,15.67
37.25,86.5833,13.89
37.25,86.75,14.49
37.25,86.9167,13.88
37.25,87.0833,14.34
37.25,87.25,11.42
37.25,87.4167,10.27
37.25,87.5833,11.31
37.25,87.75,12.4
37.25,87.9167,13.7
37.25,88.0833,14.13
37.25,88.25,13.89
37.25,88.4167,12.46
37.25,88.5833,12.32
37.25,88.75,12.3
37.25,88.9167,13.46
37.25,89.0833,15.58
37.25,89.25,16.08
37.25,89.4167,16.28
37.25,89.5833,15.43
37.25,89.75,15.69
37.25,89.9167,15.7
37.25,90.0833,15.96
37.25,90.25,16.34
37.25,90.4167,15.98
37.25,90.5833,14.43
37.25,90.75,11.43
37.25,90.9167,10.53
37.25,91.0833,9.73
37.25,91.25,10.0
37.25,91.4167,12.65
37.25,91.5833,14.02
37.25,91.75,15.32
37.25,91.9167,18.66
37.25,92.0833,20.74
37.25,92.25,22.31
37.25,92.4167,23.59
37.25,92.5833,23.25
37.25,92.75,24.14
37.25,92.9167,23.28
37.25,93.0833,23.67
37.25,93.25,24.28
37.25,93.4167,24.45
37.25,93.5833,24.7
37.25,93.75,25.53
37.25,93.9167,25.87
37.25,94.0833,25.85
37.25,94.25,25.9
37.25,94.4167,25.91
37.25,94.5833,25.69
37.25,94.75,25.84
37.25,94.9167,25.63
37.25,95.0833,25.11
37.25,95.25,24.71
37.25,95.4167,23.99
37.25,95.5833,23.8
37.25,95.75,22.91
37.25,95.9167,21.87
37.25,96.0833,20.72
37.25,96.25,21.57
37.25,96.4167,20.62
37.25,96.5833,21.55
37.25,96.75,24.05
37.25,96.9167,23.2
37.0833,68.0833,39.81
37.0833,68.25,39.96
37.0833,68.4167,40.13
37.0833,68.5833,40.96
37.0833,68.75,41.06
37.0833,68.9167,39.92
